37;2.842336
8;2.842423
8;2.845328
34;2.845401
52;2.845438
65;2.846343
79;2.846416
83;2.846452
87;2.846486
84;2.846520
82;2.847237
96;2.847287
91;2.847323
90;2.847357
97;2.848221
94;2.848273
93;2.848310
96;2.848346
96;2.848380
96;2.849215
98;2.849265
98;2.849300
98;2.849334
98;2.849370
98;2.850197
97;2.850248
97;2.850285
98;2.850320
97;2.851198
97;2.851248
97;2.851283
96;2.851317
96;2.851351
96;2.852198
95;2.852248
94;2.852284
93;2.852318
92;2.852352
92;2.853192
91;2.853241
91;2.853276
91;2.853309
89;2.854200
88;2.854249
87;2.854284
86;2.854317
85;2.854352
84;2.855202
83;2.855249
82;2.855283
81;2.855314
80;2.855348
80;2.856193
78;2.856242
77;2.856278
76;2.856310
75;2.857195
74;2.857244
73;2.857279
72;2.857313
71;2.857348
70;2.858207
69;2.858256
68;2.858292
67;2.858325
67;2.859236
66;2.859285
65;2.859321
64;2.859355
63;2.859387
62;2.860206
61;2.860255
61;2.860290
60;2.860326
59;2.860358
58;2.861202
57;2.861251
56;2.861286
55;2.861319
54;2.862196
53;2.862244
52;2.862280
52;2.862313
51;2.862353
50;2.863195
49;2.863243
49;2.863278
48;2.863311
47;2.863346
47;2.864193
46;2.864241
45;2.864277
44;2.864310
43;2.865195
43;2.865243
42;2.865278
41;2.865311
41;2.865346
40;2.866193
40;2.866241
39;2.866277
38;2.866310
38;2.867195
37;2.867243
36;2.867278
36;2.867311
36;2.867345
35;2.868195
34;2.868244
34;2.868279
33;2.868312
33;2.868346
32;2.869197
32;2.869247
32;2.869284
31;2.869318
31;2.870197
30;2.870246
31;2.870281
30;2.870315
29;2.870348
28;2.871197
28;2.871247
28;2.871281
27;2.871317
27;2.871350
27;2.872189
26;2.872233
26;2.872262
26;2.872290
25;2.873245
25;2.873294
24;2.873329
24;2.873362
24;2.873394
23;2.874199
23;2.874248
23;2.874284
23;2.874317
22;2.875196
22;2.875245
22;2.875279
21;2.875313
21;2.875347
21;2.876195
20;2.876244
20;2.876279
20;2.876312
19;2.876346
19;2.877192
19;2.877241
18;2.877277
18;2.877310
18;2.878195
18;2.878244
17;2.878280
17;2.878313
18;2.878347
16;2.879195
16;2.879244
15;2.879279
15;2.879312
15;2.879347
15;2.880192
15;2.880241
15;2.880276
14;2.880309
14;2.881195
14;2.881244
13;2.881279
13;2.881312
13;2.881346
13;2.882193
13;2.882242
13;2.882278
12;2.882311
12;2.883195
12;2.883244
12;2.883279
12;2.883312
12;2.883345
11;2.884195
11;2.884244
11;2.884279
11;2.884314
11;2.884346
10;2.885192
10;2.885241
10;2.885277
10;2.885309
10;2.886196
10;2.886245
10;2.886280
9;2.886308
9;2.886335
9;2.887183
10;2.887234
9;2.887265
9;2.887293
9;2.887322
9;2.887350
9;2.888187
9;2.888232
9;2.888262
8;2.888290
8;2.888319
8;2.889182
8;2.889227
8;2.889257
7;2.889285
8;2.889314
8;2.889341
8;2.890190
8;2.890234
8;2.890265
7;2.890292
7;2.890321
7;2.890348
7;2.891187
7;2.891231
7;2.891261
7;2.891289
7;2.891316
7;2.892182
7;2.892226
7;2.892257
7;2.892287
7;2.892314
7;2.892341
6;2.893198
6;2.893242
6;2.893272
6;2.893300
6;2.893327
6;2.893357
6;2.894198
6;2.894242
6;2.894272
6;2.894302
6;2.894330
6;2.895188
5;2.895232
5;2.895263
5;2.895290
5;2.895320
5;2.895347
5;2.896188
5;2.896232
5;2.896263
5;2.896290
4;2.896317
5;2.896352
4;2.897188
4;2.897232
4;2.897262
4;2.897291
4;2.897319
4;2.898190
4;2.898234
4;2.898264
4;2.898293
4;2.898320
4;2.898347
4;2.899190
4;2.899235
4;2.899267
4;2.899296
3;2.899325
3;2.899354
3;2.900196
3;2.900243
3;2.900275
3;2.900304
3;2.900331
3;2.901191
3;2.901236
3;2.901266
3;2.901294
3;2.901321
3;2.901350
2;2.902179
2;2.902214
3;2.902237
2;2.902259
2;2.902293
2;2.902335
3;2.903186
2;2.903229
2;2.903258
2;2.903287
3;2.903313
3;2.904189
2;2.904235
2;2.904265
2;2.904295
2;2.904322
2;2.904349
2;2.905200
2;2.905243
2;2.905274
